,CBSACode,CBSATitle,geo_licode_n,geo_text,metro,mainmatch,matchtype,CSA,CSATitle,cbsa_nearest,cbsa_nearest_name,cbsa_nearest_distance
706,11940,"Athens, TN","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",0,0,CSA Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
707,19420,"Dayton, TN","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",0,0,CSA Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
708,42460,"Scottsboro, AL","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",0,0,CSA Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
709,44900,"Summerville, GA","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",0,0,Driving Distance,470.0,"Rome-Summerville, GA",16860.0,"Chattanooga, TN-GA",55.68045
710,27180,"Jackson, TN","Jackson, Tennessee Area","Jackson, Tennessee Area",1,1,Main Match,,,,,
711,20540,"Dyersburg, TN","Jackson, Tennessee Area","Jackson, Tennessee Area",0,0,Driving Distance,,,27180.0,"Jackson, TN",49.32196
712,32280,"Martin, TN","Jackson, Tennessee Area","Jackson, Tennessee Area",0,0,Driving Distance,362.0,"Martin-Union City, TN-KY",27180.0,"Jackson, TN",54.548313
713,37540,"Paris, TN","Jackson, Tennessee Area","Jackson, Tennessee Area",0,0,Driving Distance,,,27180.0,"Jackson, TN",69.05049
714,43460,"Sikeston, MO","Jackson, Tennessee Area","Jackson, Tennessee Area",0,0,Driving Distance,164.0,"Cape Girardeau-Sikeston, MO-IL",27180.0,"Jackson, TN",137.26587
715,46460,"Union City, TN-KY","Jackson, Tennessee Area","Jackson, Tennessee Area",0,0,Driving Distance,362.0,"Martin-Union City, TN-KY",27180.0,"Jackson, TN",70.72633
716,27740,"Johnson City, TN","Johnson City, Tennessee Area","Johnson City, Tennessee Area",1,1,Main Match,304.0,"Johnson City-Kingsport-Bristol, TN-VA",,,
717,28700,"Kingsport-Bristol-Bristol, TN-VA","Johnson City, Tennessee Area","Johnson City, Tennessee Area",1,0,CSA Match,304.0,"Johnson City-Kingsport-Bristol, TN-VA",,,
718,13720,"Big Stone Gap, VA","Johnson City, Tennessee Area","Johnson City, Tennessee Area",0,0,Driving Distance,,,27740.0,"Johnson City, TN",79.44914
719,24620,"Greeneville, TN","Johnson City, Tennessee Area","Johnson City, Tennessee Area",0,0,Driving Distance,,,27740.0,"Johnson City, TN",37.03683
720,28940,"Knoxville, TN","Knoxville, Tennessee Area","Knoxville, Tennessee Area",1,1,Main Match,314.0,"Knoxville-Morristown-Sevierville, TN",,,
721,34100,"Morristown, TN","Knoxville, Tennessee Area","Knoxville, Tennessee Area",1,0,CSA Match,314.0,"Knoxville-Morristown-Sevierville, TN",,,
722,35460,"Newport, TN","Knoxville, Tennessee Area","Knoxville, Tennessee Area",0,0,CSA Match,314.0,"Knoxville-Morristown-Sevierville, TN",,,
723,42940,"Sevierville, TN","Knoxville, Tennessee Area","Knoxville, Tennessee Area",0,0,CSA Match,314.0,"Knoxville-Morristown-Sevierville, TN",,,
724,18900,"Crossville, TN","Knoxville, Tennessee Area","Knoxville, Tennessee Area",0,0,Driving Distance,,,28940.0,"Knoxville, TN",68.47076
725,30940,"London, KY","Knoxville, Tennessee Area","Knoxville, Tennessee Area",0,0,Driving Distance,,,28940.0,"Knoxville, TN",83.865845
726,33180,"Middlesborough, KY","Knoxville, Tennessee Area","Knoxville, Tennessee Area",0,0,Driving Distance,,,28940.0,"Knoxville, TN",81.426346
727,32820,"Memphis, TN-MS-AR",Greater Memphis Area,Greater Memphis Area,1,1,Main Match,368.0,"Memphis-Forrest City, TN-MS-AR",,,
728,22620,"Forrest City, AR",Greater Memphis Area,Greater Memphis Area,0,0,CSA Match,368.0,"Memphis-Forrest City, TN-MS-AR",,,
729,17260,"Clarksdale, MS",Greater Memphis Area,Greater Memphis Area,0,0,Driving Distance,,,32820.0,"Memphis, TN-MS-AR",88.385704
730,24980,"Grenada, MS",Greater Memphis Area,Greater Memphis Area,0,0,Driving Distance,,,32820.0,"Memphis, TN-MS-AR",98.16547
731,25760,"Helena-West Helena, AR",Greater Memphis Area,Greater Memphis Area,0,0,Driving Distance,,,32820.0,"Memphis, TN-MS-AR",97.069984
732,37060,"Oxford, MS",Greater Memphis Area,Greater Memphis Area,0,0,Driving Distance,,,32820.0,"Memphis, TN-MS-AR",61.972454
733,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Greater Nashville Area, TN","Greater Nashville Area, TN",1,1,Main Match,400.0,"Nashville-Davidson--Murfreesboro, TN",,,
734,29980,"Lawrenceburg, TN","Greater Nashville Area, TN","Greater Nashville Area, TN",0,0,CSA Match,400.0,"Nashville-Davidson--Murfreesboro, TN",,,
735,30280,"Lewisburg, TN","Greater Nashville Area, TN","Greater Nashville Area, TN",0,0,CSA Match,400.0,"Nashville-Davidson--Murfreesboro, TN",,,
736,43180,"Shelbyville, TN","Greater Nashville Area, TN","Greater Nashville Area, TN",0,0,CSA Match,400.0,"Nashville-Davidson--Murfreesboro, TN",,,
737,32660,"McMinnville, TN","Greater Nashville Area, TN","Greater Nashville Area, TN",0,0,Driving Distance,,,34980.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",79.04463
738,17300,"Clarksville, TN-KY","Clarksville/Todd Combined, TN-KY Area","Clarksville/Todd Combined, TN-KY Area",1,1,Main Match,,,,,
739,32460,"Mayfield, KY","Clarksville/Todd Combined, TN-KY Area","Clarksville/Todd Combined, TN-KY Area",0,0,Driving Distance,424.0,"Paducah-Mayfield, KY-IL",17300.0,"Clarksville, TN-KY",87.829575
740,34660,"Murray, KY","Clarksville/Todd Combined, TN-KY Area","Clarksville/Todd Combined, TN-KY Area",0,0,Driving Distance,,,17300.0,"Clarksville, TN-KY",54.999428
741,37140,"Paducah, KY-IL","Clarksville/Todd Combined, TN-KY Area","Clarksville/Todd Combined, TN-KY Area",0,0,Driving Distance,424.0,"Paducah-Mayfield, KY-IL",17300.0,"Clarksville, TN-KY",85.17694
742,15180,"Brownsville-Harlingen, TX","Brownsville, Texas Area","Brownsville, Texas Area",1,1,Main Match,154.0,"Brownsville-Harlingen-Raymondville, TX",,,
743,39700,"Raymondville, TX","Brownsville, Texas Area","Brownsville, Texas Area",0,0,CSA Match,154.0,"Brownsville-Harlingen-Raymondville, TX",,,
744,17780,"College Station-Bryan, TX","Bryan/College Station, Texas Area","Bryan/College Station, Texas Area",1,1,Main Match,,,,,
745,18580,"Corpus Christi, TX","Corpus Christi, Texas Area","Corpus Christi, Texas Area",1,1,Main Match,204.0,"Corpus Christi-Kingsville-Alice, TX",,,
746,10860,"Alice, TX","Corpus Christi, Texas Area","Corpus Christi, Texas Area",0,0,CSA Match,204.0,"Corpus Christi-Kingsville-Alice, TX",,,
747,28780,"Kingsville, TX","Corpus Christi, Texas Area","Corpus Christi, Texas Area",0,0,CSA Match,204.0,"Corpus Christi-Kingsville-Alice, TX",,,
748,21340,"El Paso, TX","El Paso, Texas Area","El Paso, Texas Area",1,1,Main Match,238.0,"El Paso-Las Cruces, TX-NM",,,
749,16100,"Carlsbad-Artesia, NM","El Paso, Texas Area","El Paso, Texas Area",0,0,Driving Distance,,,21340.0,"El Paso, TX",135.55647
750,19100,"Dallas-Fort Worth-Arlington, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,1,1,Main Match,206.0,"Dallas-Fort Worth, TX-OK",,,
751,11980,"Athens, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
752,18620,"Corsicana, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
753,20460,"Durant, OK",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
754,23620,"Gainesville, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
755,33420,"Mineral Wells, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
756,44860,"Sulphur Springs, TX",Dallas/Fort Worth Area,Dallas/Fort Worth Area,0,0,Largest MSA within CSA,206.0,"Dallas-Fort Worth, TX-OK",,,
757,11100,"Amarillo, TX","Amarillo, Texas Area","Amarillo, Texas Area",1,1,Main Match,108.0,"Amarillo-Borger, TX",,,
758,14420,"Borger, TX","Amarillo, Texas Area","Amarillo, Texas Area",0,0,CSA Match,108.0,"Amarillo-Borger, TX",,,
759,17580,"Clovis, NM","Amarillo, Texas Area","Amarillo, Texas Area",0,0,Driving Distance,188.0,"Clovis-Portales, NM",11100.0,"Amarillo, TX",129.86844
760,20300,"Dumas, TX","Amarillo, Texas Area","Amarillo, Texas Area",0,0,Driving Distance,,,11100.0,"Amarillo, TX",59.670277
761,25100,"Guymon, OK","Amarillo, Texas Area","Amarillo, Texas Area",0,0,Driving Distance,,,11100.0,"Amarillo, TX",128.39455
762,25820,"Hereford, TX","Amarillo, Texas Area","Amarillo, Texas Area",0,0,Driving Distance,,,11100.0,"Amarillo, TX",64.12799
763,37420,"Pampa, TX","Amarillo, Texas Area","Amarillo, Texas Area",0,0,Driving Distance,,,11100.0,"Amarillo, TX",74.53658
764,28660,"Killeen-Temple, TX","Killeen/Temple, Texas Area","Killeen/Temple, Texas Area",1,1,Main Match,,,,,
765,10180,"Abilene, TX","Abilene, Texas Area","Abilene, Texas Area",1,1,Main Match,,,,,
766,15220,"Brownwood, TX","Abilene, Texas Area","Abilene, Texas Area",0,0,Driving Distance,,,10180.0,"Abilene, TX",76.10616
767,44500,"Stephenville, TX","Abilene, Texas Area","Abilene, Texas Area",0,0,Driving Distance,,,10180.0,"Abilene, TX",94.97224
768,45020,"Sweetwater, TX","Abilene, Texas Area","Abilene, Texas Area",0,0,Driving Distance,,,10180.0,"Abilene, TX",56.26516
769,29700,"Laredo, TX","Laredo, Texas Area","Laredo, Texas Area",1,1,Main Match,,,,,
770,20580,"Eagle Pass, TX","Laredo, Texas Area","Laredo, Texas Area",0,0,Driving Distance,,,29700.0,"Laredo, TX",121.724754
771,49820,"Zapata, TX","Laredo, Texas Area","Laredo, Texas Area",0,0,Driving Distance,,,29700.0,"Laredo, TX",85.21795
772,26420,"Houston-The Woodlands-Sugar Land, TX","Houston, Texas Area","Houston, Texas Area",1,1,Main Match,288.0,"Houston-The Woodlands, TX",,,
773,13060,"Bay City, TX","Houston, Texas Area","Houston, Texas Area",0,0,CSA Match,288.0,"Houston-The Woodlands, TX",,,
774,14780,"Brenham, TX","Houston, Texas Area","Houston, Texas Area",0,0,CSA Match,288.0,"Houston-The Woodlands, TX",,,
775,20900,"El Campo, TX","Houston, Texas Area","Houston, Texas Area",0,0,CSA Match,288.0,"Houston-The Woodlands, TX",,,
776,26660,"Huntsville, TX","Houston, Texas Area","Houston, Texas Area",0,0,CSA Match,288.0,"Houston-The Woodlands, TX",,,
777,30980,"Longview, TX","Longview, Texas Area","Longview, Texas Area",1,1,Main Match,346.0,"Longview-Marshall, TX",,,
778,32220,"Marshall, TX","Longview, Texas Area","Longview, Texas Area",0,0,CSA Match,346.0,"Longview-Marshall, TX",,,
779,31260,"Lufkin, TX","Longview, Texas Area","Longview, Texas Area",0,0,Driving Distance,,,30980.0,"Longview, TX",89.06983
780,34860,"Nacogdoches, TX","Longview, Texas Area","Longview, Texas Area",0,0,Driving Distance,,,30980.0,"Longview, TX",58.77985
781,31180,"Lubbock, TX","Lubbock, Texas Area","Lubbock, Texas Area",1,1,Main Match,352.0,"Lubbock-Levelland, TX",,,
782,30220,"Levelland, TX","Lubbock, Texas Area","Lubbock, Texas Area",0,0,CSA Match,352.0,"Lubbock-Levelland, TX",,,
783,29500,"Lamesa, TX","Lubbock, Texas Area","Lubbock, Texas Area",0,0,Driving Distance,,,31180.0,"Lubbock, TX",56.72684
784,38380,"Plainview, TX","Lubbock, Texas Area","Lubbock, Texas Area",0,0,Driving Distance,,,31180.0,"Lubbock, TX",50.902107
785,38780,"Portales, NM","Lubbock, Texas Area","Lubbock, Texas Area",0,0,Driving Distance,188.0,"Clovis-Portales, NM",31180.0,"Lubbock, TX",135.40051
786,40740,"Roswell, NM","Lubbock, Texas Area","Lubbock, Texas Area",0,0,Driving Distance,,,31180.0,"Lubbock, TX",184.78212
787,43660,"Snyder, TX","Lubbock, Texas Area","Lubbock, Texas Area",0,0,Driving Distance,,,31180.0,"Lubbock, TX",70.835075
788,32580,"McAllen-Edinburg-Mission, TX","McAllen, Texas Area","McAllen, Texas Area",1,1,Main Match,365.0,"McAllen-Edinburg, TX",,,
789,40100,"Rio Grande City, TX","McAllen, Texas Area","McAllen, Texas Area",0,0,CSA Match,365.0,"McAllen-Edinburg, TX",,,
790,33260,"Midland, TX","Odessa/Midland, Texas Area","Odessa/Midland, Texas Area",1,1,Main Match,372.0,"Midland-Odessa, TX",,,
791,36220,"Odessa, TX","Odessa/Midland, Texas Area","Odessa/Midland, Texas Area",1,1,Main Match,372.0,"Midland-Odessa, TX",,,
